State,IMR,U5MR,Institutional_Delivery_Pct,ANC_4visits_Pct,Full_Immunization_Pct,Child_Anaemia_Pct,Women_Anaemia_Pct,Stunting_Pct,Underweight_Pct,Clean_Water_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,First_Trimester_ANC_Pct,Women_HighBloodSugar_Pct,Men_HighBloodSugar_Pct,Public_Beds,Private_Beds,Total_Beds,Institutional_Delivery_Pct_norm,ANC_4visits_Pct_norm,Full_Immunization_Pct_norm,Clean_Water_Pct_norm,Sanitation_Pct_norm,Electricity_Pct_norm,Clean_Fuel_Pct_norm,First_Trimester_ANC_Pct_norm,IMR_norm,U5MR_norm,Child_Anaemia_Pct_norm,Women_Anaemia_Pct_norm,Stunting_Pct_norm,Underweight_Pct_norm,Health_Score
Andhra Pradesh,35.0,41.0,91.6,76.3,65.3,58.6,60.0,31.4,31.9,72.7,53.6,98.8,62.0,82.4,8.2,9.8,23138.0,39397.0,62535.0,0.8763040238450073,0.7966537966537968,0.5323741007194244,0.53713298791019,0.3893333333333335,0.9710144927536231,0.5531914893617021,0.8190883190883194,0.5,0.5211267605633803,0.3886397608370702,0.3421052631578948,0.5909090909090909,0.4428969359331476,59.01
Assam,48.0,56.0,70.6,46.5,47.1,35.7,46.0,36.4,29.8,83.8,47.7,78.2,25.1,55.1,5.2,6.6,17142.0,29188.0,46330.0,0.5633383010432189,0.4131274131274132,0.20503597122302164,0.7288428324697753,0.3106666666666668,0.47342995169082114,0.09136420525657071,0.43019943019943035,0.27586206896551724,0.3098591549295774,0.7309417040358743,0.5877192982456141,0.41608391608391615,0.5013927576601671,43.13
Bihar,48.0,58.0,63.8,14.4,61.7,63.5,60.3,48.3,43.9,98.2,25.2,58.6,17.8,34.6,4.2,6.7,11664.0,19860.0,31524.0,0.4619970193740685,0.0,0.46762589928057563,0.9775474956822108,0.010666666666666713,0.0,0.0,0.13817663817663822,0.27586206896551724,0.2816901408450704,0.3153961136023915,0.33684210526315794,1.1102230246251565e-16,0.10863509749303613,24.1
Chattisgarh,54.0,64.0,70.2,59.1,76.4,41.6,47.0,37.6,37.7,91.1,32.7,95.6,22.8,70.8,5.7,9.7,12031.5,20486.0,32517.5,0.5573770491803278,0.5752895752895754,0.7320143884892089,0.854922279792746,0.11066666666666675,0.893719806763285,0.06257822277847311,0.653846153846154,0.1724137931034483,0.19718309859154926,0.6427503736920777,0.5701754385964913,0.37412587412587406,0.2813370473537604,47.7
Gujarat,34.0,43.0,88.7,70.6,50.4,62.6,54.9,38.5,39.3,90.9,64.3,96.0,52.6,73.9,5.8,7.6,20172.0,34347.0,54519.0,0.8330849478390461,0.7232947232947233,0.2643884892086331,0.8514680483592401,0.532,0.9033816425120773,0.4355444305381727,0.6980056980056981,0.5172413793103449,0.49295774647887325,0.3288490284005978,0.4315789473684212,0.3426573426573426,0.23676880222841223,54.22
Haryana,33.0,41.0,80.5,45.1,62.2,71.7,62.7,34.0,29.4,91.7,79.2,98.8,52.2,63.2,4.8,6.1,11240.0,19138.0,30378.0,0.7108792846497765,0.39510939510939513,0.47661870503597126,0.8652849740932642,0.7306666666666668,0.9710144927536231,0.4305381727158949,0.5455840455840457,0.5344827586206896,0.5211267605633803,0.1928251121076232,0.2947368421052631,0.4999999999999999,0.5125348189415042,54.87
Jharkhand,44.0,54.0,61.9,30.3,61.9,69.9,65.2,45.3,47.8,77.8,24.4,80.1,18.9,52.0,4.9,7.7,10784.0,18362.0,29146.0,0.43368107302533526,0.2046332046332047,0.4712230215827339,0.625215889464594,0.0,0.5193236714975844,0.013767209011264075,0.3860398860398861,0.3448275862068966,0.3380281690140845,0.21973094170403562,0.25087719298245614,0.1048951048951049,0.0,27.94
Karnataka,28.0,32.0,94.3,70.3,62.6,60.9,44.8,36.2,35.2,89.3,57.8,97.8,54.7,66.0,6.3,8.4,69721.0,118714.0,188435.0,0.9165424739195229,0.7194337194337195,0.48381294964028776,0.8238341968911915,0.4453333333333334,0.9468599033816423,0.4618272841051314,0.5854700854700856,0.6206896551724138,0.647887323943662,0.35426008968609857,0.6087719298245615,0.423076923076923,0.3509749303621168,59.92
Kerala,6.0,7.0,99.9,90.2,82.1,35.6,34.2,19.7,16.1,94.3,98.1,99.2,57.4,95.1,8.7,13.1,38004.0,64710.0,102714.0,1.0,0.9755469755469757,0.8345323741007195,0.9101899827288427,0.9826666666666668,0.9806763285024154,0.49561952440550683,1.0,1.0,1.0,0.7324364723467862,0.7947368421052632,1.0,0.883008356545961,89.92
Madhya Pradesh,51.0,65.0,80.8,35.7,53.6,68.9,52.5,42.0,42.8,84.7,33.7,89.9,29.6,53.1,5.1,6.7,31106.0,52964.0,84070.0,0.7153502235469447,0.27413127413127425,0.3219424460431656,0.7443868739205528,0.12400000000000011,0.7560386473429954,0.14768460575719652,0.4017094017094018,0.22413793103448276,0.18309859154929575,0.23467862481315382,0.4736842105263158,0.22027972027972031,0.1392757660167132,35.43
Maharashtra,24.0,29.0,90.3,72.2,56.3,53.8,48.0,34.4,36.0,91.5,51.9,92.5,59.9,67.6,5.0,5.9,51446.0,87597.0,139043.0,0.8569299552906109,0.743886743886744,0.3705035971223022,0.8618307426597582,0.36666666666666675,0.818840579710145,0.5269086357947433,0.6082621082621082,0.6896551724137931,0.6901408450704225,0.460388639760837,0.5526315789473685,0.48601398601398593,0.3286908077994428,59.72
Odisha,40.0,49.0,85.4,62.0,78.6,44.6,51.0,34.1,34.4,88.8,29.4,85.5,19.2,64.1,7.3,10.7,18519.0,31532.0,50051.0,0.7839046199701938,0.6126126126126127,0.7715827338129496,0.8151986183074265,0.06666666666666671,0.64975845410628,0.017521902377972465,0.5584045584045585,0.4137931034482758,0.4084507042253521,0.5979073243647233,0.5000000000000001,0.49650349650349634,0.373259052924791,50.47
Punjab,29.0,33.0,90.5,68.5,89.1,56.6,53.5,25.7,21.6,99.1,81.5,99.6,65.9,75.6,6.1,6.7,17933.0,30535.0,48468.0,0.8599105812220564,0.6962676962676964,0.9604316546762589,0.9930915371329878,0.7613333333333334,0.9903381642512077,0.6020025031289112,0.7222222222222223,0.603448275862069,0.6338028169014085,0.4185351270553064,0.45614035087719307,0.7902097902097902,0.7298050139275765,72.98
Rajasthan,41.0,51.0,84.0,38.5,54.8,60.3,46.8,39.1,36.7,85.5,45.0,91.0,31.8,63.0,3.5,5.7,47054.0,80119.0,127173.0,0.7630402384500745,0.31016731016731025,0.3435251798561151,0.7582037996545767,0.2746666666666668,0.7826086956521738,0.17521902377972468,0.5427350427350428,0.39655172413793105,0.380281690140845,0.36322869955156944,0.5736842105263159,0.32167832167832155,0.30919220055710306,44.96
Tamil Nadu,21.0,27.0,99.0,81.2,69.7,50.7,55.1,27.1,23.8,90.6,52.2,98.8,73.0,64.0,7.1,9.7,77532.0,132014.0,209546.0,0.9865871833084947,0.8597168597168598,0.6115107913669066,0.846286701208981,0.37066666666666676,0.9710144927536231,0.6908635794743428,0.5569800569800571,0.7413793103448276,0.7183098591549296,0.506726457399103,0.4280701754385965,0.7412587412587411,0.6685236768802227,69.27
Telangana,28.0,32.0,91.5,75.0,68.1,60.7,56.7,28.1,28.5,77.6,50.2,98.2,66.8,83.1,6.8,6.0,20983.0,35728.0,56711.0,0.8748137108792846,0.77992277992278,0.5827338129496403,0.6217616580310878,0.34400000000000014,0.9565217391304346,0.6132665832290363,0.829059829059829,0.6206896551724138,0.647887323943662,0.3572496263079221,0.4,0.7062937062937062,0.5376044568245124,63.37
Uttar Pradesh,64.0,78.0,67.8,26.4,51.1,63.2,52.4,46.3,39.5,96.4,35.0,70.9,32.7,45.9,5.0,7.1,76260.0,129848.0,206108.0,0.5216095380029806,0.15444015444015444,0.2769784172661871,0.9464594127806563,0.14133333333333337,0.2971014492753623,0.18648310387984987,0.29914529914529925,0.0,0.0,0.31988041853512694,0.4754385964912281,0.0699300699300699,0.2311977715877438,28.0
West Bengal,27.0,32.0,75.2,76.5,84.4,54.2,62.5,32.5,31.5,94.6,50.9,93.7,27.9,54.9,7.4,11.4,78566.0,133775.0,212341.0,0.631892697466468,0.7992277992277994,0.8758992805755398,0.9153713298791017,0.35333333333333333,0.8478260869565215,0.12640801001251564,0.42735042735042744,0.6379310344827587,0.647887323943662,0.45440956651718967,0.29824561403508787,0.5524475524475524,0.4540389972144847,57.3
Arunachal Pradesh,23.0,33.0,52.3,26.8,38.2,50.7,40.3,29.4,19.5,87.5,61.3,88.7,45.0,37.0,4.8,7.6,2404.0,4093.0,6497.0,0.2906110283159464,0.1595881595881596,0.04496402877697847,0.7927461139896372,0.49200000000000005,0.7270531400966185,0.34042553191489355,0.1723646723646724,0.7068965517241379,0.6338028169014085,0.506726457399103,0.6877192982456142,0.6608391608391609,0.7883008356545962,50.03
Delhi,35.0,47.0,84.4,68.6,66.4,62.6,52.5,32.3,27.0,85.7,74.0,99.8,97.7,63.3,7.6,10.0,24383.0,41517.0,65900.0,0.7690014903129658,0.6975546975546976,0.5521582733812952,0.7616580310880829,0.6613333333333333,0.9951690821256038,1.0,0.5470085470085471,0.5,0.43661971830985913,0.3288490284005978,0.4736842105263158,0.5594405594405595,0.5793871866295264,63.3
Goa,13.0,13.0,96.9,89.0,88.4,48.3,31.3,20.1,23.8,96.3,78.3,99.8,84.1,84.4,8.9,12.3,3012.0,5129.0,8141.0,0.9552906110283159,0.9601029601029603,0.9478417266187052,0.9447322970639032,0.7186666666666668,0.9951690821256038,0.8297872340425532,0.8475783475783478,0.8793103448275862,0.9154929577464789,0.5426008968609866,0.8456140350877194,0.9860139860139859,0.6685236768802227,85.98
Himachal Pradesh,34.0,38.0,76.4,69.1,69.5,53.7,53.4,26.3,21.2,94.9,70.7,99.5,36.7,70.5,5.9,6.8,12399.0,21112.0,33511.0,0.6497764530551415,0.7039897039897041,0.6079136690647483,0.920552677029361,0.6173333333333335,0.9879227053140096,0.2365456821026283,0.6495726495726497,0.5172413793103449,0.5633802816901408,0.46188340807174866,0.45789473684210535,0.7692307692307692,0.7409470752089136,63.46
