State,IMR,U5MR,Institutional_Delivery_Pct,Full_Immunization_Pct,Child_Anaemia_Pct,Stunting_Pct,Clean_Water_Pct,Sanitation_Pct,Total_Beds,Cluster,Health_Score,Health_Tier,PCA1,PCA2
Andhra Pradesh,35.0,41.0,91.6,65.3,58.6,31.4,72.7,53.6,62535.0,0,59.01,Moderate,0.29011937525100706,-0.08970690767869996
Assam,48.0,56.0,70.6,47.1,35.7,36.4,83.8,47.7,46330.0,3,43.13,Critical,2.094320674502197,-1.187614955332769
Bihar,48.0,58.0,63.8,61.7,63.5,48.3,98.2,25.2,31524.0,3,24.1,Critical,3.2310013927270353,0.7099991518028304
Chattisgarh,54.0,64.0,70.2,76.4,41.6,37.6,91.1,32.7,32517.5,3,47.7,Critical,2.2493523712128356,0.03848238525663427
Gujarat,34.0,43.0,88.7,50.4,62.6,38.5,90.9,64.3,54519.0,0,54.22,Moderate,0.7469235641992755,0.4833530718856478
Haryana,33.0,41.0,80.5,62.2,71.7,34.0,91.7,79.2,30378.0,0,54.87,Moderate,0.013810504529044556,0.5264782512474198
Jharkhand,44.0,54.0,61.9,61.9,69.9,45.3,77.8,24.4,29146.0,3,27.94,Critical,3.1060335238684535,-0.15901690013654005
Karnataka,28.0,32.0,94.3,62.6,60.9,36.2,89.3,57.8,188435.0,0,59.92,Moderate,0.03609004161559635,1.5266204160883725
Kerala,6.0,7.0,99.9,82.1,35.6,19.7,94.3,98.1,102714.0,2,89.92,Strong,-4.341784504181139,0.09526016972600279
Madhya Pradesh,51.0,65.0,80.8,53.6,68.9,42.0,84.7,33.7,84070.0,3,35.43,Critical,3.1371320955849953,0.9288513463711114
Maharashtra,24.0,29.0,90.3,56.3,53.8,34.4,91.5,51.9,139043.0,0,59.72,Moderate,-0.15642892481898465,0.7392704264143608
Odisha,40.0,49.0,85.4,78.6,44.6,34.1,88.8,29.4,50051.0,3,50.47,Critical,0.8653059431369485,0.39014043226181283
Punjab,29.0,33.0,90.5,89.1,56.6,25.7,99.1,81.5,48468.0,2,72.98,Strong,-1.9150951843170712,1.0910197103024308
Rajasthan,41.0,51.0,84.0,54.8,60.3,39.1,85.5,45.0,127173.0,3,44.96,Critical,1.8317223871538735,0.7974745950170423
Tamil Nadu,21.0,27.0,99.0,69.7,50.7,27.1,90.6,52.2,209546.0,0,69.27,Moderate,-1.141800082002304,1.4477718291322408
Telangana,28.0,32.0,91.5,68.1,60.7,28.1,77.6,50.2,56711.0,0,63.37,Moderate,-0.47923014614904463,0.06184549622589054
Uttar Pradesh,64.0,78.0,67.8,51.1,63.2,46.3,96.4,35.0,206108.0,3,28.0,Critical,4.592846717035255,1.8894075512559576
West Bengal,27.0,32.0,75.2,84.4,54.2,32.5,94.6,50.9,212341.0,0,57.3,Moderate,-0.2737140472880307,1.531699463920554
Arunachal Pradesh,23.0,33.0,52.3,38.2,50.7,29.4,87.5,61.3,6497.0,1,50.03,Developing,0.3623046587397748,-2.0420439827944943
Delhi,35.0,47.0,84.4,66.4,62.6,32.3,85.7,74.0,65900.0,0,63.3,Moderate,0.14224497607072978,0.4315884626533221
Goa,13.0,13.0,96.9,88.4,48.3,20.1,96.3,78.3,8141.0,2,85.98,Strong,-3.6252356798588954,0.23515146032648035
Himachal Pradesh,34.0,38.0,76.4,69.5,53.7,26.3,94.9,70.7,33511.0,0,63.46,Moderate,-0.6252389396079084,0.004267588243243083
Jammu & Kashmir,32.0,38.0,85.7,75.1,43.3,27.4,89.2,52.5,32517.5,0,69.65,Moderate,-0.6138060649601229,-0.1560768210760271
Manipur,22.0,26.0,69.1,65.9,23.9,28.9,41.6,49.9,3857.0,1,63.65,Developing,-0.3991238717191867,-3.9991800028040876
Meghalaya,30.0,40.0,51.4,61.5,48.0,43.8,67.9,60.3,12046.0,1,43.84,Developing,1.4329319347183245,-2.2009645068899952
Mizoram,40.0,46.0,80.1,50.5,17.7,28.0,91.5,83.5,5397.0,1,70.69,Developing,-0.3265637953429251,-1.794281492020037
Nagaland,29.0,37.0,32.8,35.7,21.6,28.6,80.6,75.2,5081.0,1,50.89,Developing,0.6070430762651191,-4.001835398139984
Sikkim,29.0,32.0,94.7,83.0,55.1,29.6,97.6,88.2,4216.0,2,76.18,Strong,-1.8661068251615904,0.7006616538284585
Tripura,27.0,33.0,79.9,54.5,48.3,24.3,87.3,61.3,11970.0,0,59.34,Moderate,-0.7152743133465302,-0.9658565696430009
Uttarakhand,40.0,47.0,68.6,57.7,59.8,33.5,92.9,64.5,23005.0,0,51.83,Moderate,0.9103558012066365,-0.1762760041609276
Andaman And Nicobar Islands,10.0,13.0,96.6,73.2,49.0,23.3,94.3,74.3,2905.0,2,75.32,Strong,-3.0996308215729127,-0.15572239912184005
Chandigarh,32.0,38.0,91.6,79.5,73.1,28.7,99.5,82.9,10151.0,2,66.58,Strong,-1.2185030310692297,1.3641930379145901
Dadra And Nagar Haveli,33.0,42.0,88.0,43.2,84.6,41.7,77.5,35.4,32517.5,0,42.86,Moderate,1.9449742470184335,0.48065234996031664
Daman And Diu,34.0,34.0,90.1,66.3,73.8,23.4,89.4,60.4,32517.5,0,63.31,Moderate,-0.6654233574514369,0.7727035906205438
Lakshadweep,19.0,23.0,99.9,86.9,51.9,27.0,91.5,99.4,811.0,2,77.75,Strong,-3.0510388840413496,0.29068095001482713
Puducherry,16.0,16.0,99.9,91.3,44.9,23.7,95.4,65.0,9646.0,2,81.32,Strong,-3.0805148119468724,0.3910025493283118
